session_id,customer_id,session_date,session_duration_min,pages_viewed,funnel_stage_reached,utm_source
90047,2863,2023-04-12 19:47:00,7.32,4.0,cart_added,organic
90048,5802,2023-08-16 16:01:00,12.74,10.0,checkout,organic
90049,1617,2022-06-13 19:05:00,9.79,4.0,cart_added,organic
90050,4847,2023-04-22 10:10:00,5.11,3.0,product_viewed,referral
90051,1565,2022-07-26 18:26:00,7.54,2.0,product_viewed,paid_search
90052,5968,2024-02-18 09:36:00,5.49,6.0,product_viewed,social
90053,2814,2023-07-24 15:35:00,22.54,18.0,purchased,organic
90054,4847,2024-07-17 13:03:00,2.21,1.0,visited,referral
90055,2647,2024-01-18 15:57:00,2.01,2.0,visited,organic
90056,4134,2022-11-30 08:18:00,20.85,13.0,purchased,paid_search
90057,1974,2024-01-29 12:16:00,4.91,5.0,product_viewed,organic
90058,1685,2023-12-29 17:26:00,5.64,2.0,product_viewed,referral
90059,5739,2023-03-06 15:45:00,7.36,7.0,cart_added,paid_search
90060,5654,2023-07-01 15:26:00,10.5,5.0,cart_added,email
90061,5481,2022-05-27 14:23:00,8.29,4.0,product_viewed,organic
90062,4121,2022-12-17 21:32:00,7.6,5.0,product_viewed,organic
90063,5010,2024-12-29 21:37:00,7.76,6.0,product_viewed,organic
90064,1438,2023-05-17 12:20:00,10.78,9.0,cart_added,email
90065,2595,2022-12-01 11:08:00,15.87,14.0,checkout,social
90066,2547,2024-08-04 15:47:00,1.19,3.0,visited,email
90067,4193,2024-02-17 06:56:00,2.5,3.0,visited,referral
90068,2714,2023-07-07 11:17:00,3.43,6.0,product_viewed,paid_search
90069,1702,2023-03-26 09:31:00,8.37,9.0,cart_added,organic
90070,3955,2023-10-27 09:26:00,3.79,5.0,product_viewed,referral
90071,5053,2022-04-25 16:00:00,2.7,2.0,visited,email
90072,2823,2023-04-15 12:54:00,2.7,2.0,visited,social
90073,1566,2022-03-07 08:36:00,20.77,8.0,checkout,social
90074,1994,2023-10-09 20:26:00,7.93,2.0,product_viewed,social
90075,2175,2024-04-01 20:52:00,1.63,3.0,visited,social
90076,2477,2023-07-03 20:44:00,2.88,3.0,product_viewed,email
90077,4232,2022-05-16 12:52:00,2.33,1.0,visited,social
90078,3987,2023-03-09 05:01:00,2.74,4.0,product_viewed,organic
90079,4583,2023-10-07 07:41:00,7.07,7.0,cart_added,paid_search
90080,2738,2023-03-12 10:27:00,10.55,8.0,cart_added,organic
90081,5127,2024-10-19 09:56:00,8.5,9.0,cart_added,social
90082,2065,2024-03-21 20:53:00,3.22,3.0,product_viewed,paid_search
90083,3267,2024-07-28 23:16:00,4.09,3.0,product_viewed,social
90084,4977,2022-10-20 19:28:00,11.71,10.0,checkout,paid_search
90085,1894,2023-06-27 18:09:00,0.51,2.0,visited,paid_search
90086,1565,2022-10-13 16:44:00,4.23,7.0,cart_added,paid_search
90087,5470,2023-05-21 18:40:00,16.58,14.0,checkout,email
90088,2651,2023-06-23 21:16:00,2.52,2.0,visited,organic
90089,4514,2024-05-27 16:58:00,2.72,2.0,visited,email
90090,1167,2024-03-28 08:52:00,2.97,2.0,product_viewed,paid_search
90091,4572,2024-01-12 08:21:00,0.7,3.0,visited,paid_search
90092,2547,2023-03-26 15:11:00,18.61,13.0,checkout,email
90093,1361,2022-10-11 11:23:00,,,,
90094,4029,2024-11-09 21:29:00,0.5,2.0,visited,social
90095,2181,2024-10-07 16:13:00,19.35,13.0,checkout,referral
90096,2823,2022-07-06 17:28:00,0.5,1.0,visited,social
90097,1501,2022-04-07 00:35:00,,,,
90098,1697,2022-08-13 14:29:00,3.85,3.0,visited,organic
90099,2464,2022-11-10 13:44:00,14.0,11.0,checkout,social
90100,1532,2022-11-24 17:16:00,1.54,2.0,visited,referral
90101,5613,2024-05-14 12:30:00,2.13,3.0,visited,paid_search
90102,1043,2022-05-11 22:31:00,3.24,3.0,product_viewed,organic
90103,3363,2024-02-28 17:35:00,3.71,4.0,product_viewed,organic
90104,1565,2024-02-21 17:57:00,2.29,2.0,visited,paid_search
90105,2520,2024-08-16 21:34:00,2.98,3.0,visited,referral
90106,5692,2024-12-19 23:16:00,9.33,6.0,cart_added,paid_search
90107,1774,2023-05-30 09:00:00,10.69,8.0,checkout,paid_search
90108,5895,2022-01-24 19:28:00,4.96,5.0,cart_added,paid_search
90109,2075,2022-08-23 08:00:00,9.18,6.0,cart_added,referral
90110,4698,2023-07-01 13:51:00,2.81,1.0,visited,social
90111,3678,2023-11-28 07:44:00,5.95,6.0,product_viewed,organic
90112,5474,2022-08-17 16:44:00,2.9,3.0,visited,paid_search
90113,3729,2023-08-25 13:38:00,3.33,1.0,visited,organic
90114,3641,2024-06-09 16:17:00,15.15,4.0,cart_added,organic
90115,1989,2022-11-20 17:26:00,6.88,10.0,cart_added,organic
90116,1807,2024-07-18 16:20:00,10.64,8.0,cart_added,referral
90117,5641,2022-01-07 10:30:00,15.99,9.0,checkout,referral
90118,2547,2023-06-24 19:29:00,6.76,4.0,product_viewed,email
90119,2779,2024-10-22 15:29:00,19.17,8.0,purchased,organic
90120,4824,2023-01-01 14:49:00,4.63,3.0,product_viewed,paid_search
90121,2628,2024-11-05 23:55:00,15.07,13.0,checkout,paid_search
90122,5814,2022-08-06 10:03:00,2.91,1.0,visited,paid_search
90123,4692,2023-09-04 14:27:00,0.83,2.0,visited,paid_search
90124,3958,2024-11-05 17:05:00,4.12,4.0,product_viewed,email
90125,5447,2023-02-12 07:09:00,4.54,2.0,visited,organic
90126,1316,2022-11-10 11:57:00,2.12,1.0,visited,social
90127,2270,2024-02-05 19:39:00,3.44,2.0,visited,organic
90128,3239,2022-11-27 09:32:00,4.37,7.0,cart_added,organic
90129,2144,2024-12-22 14:32:00,14.97,7.0,checkout,social
90130,4706,2022-01-02 16:38:00,1.51,1.0,visited,email
90131,5666,2023-10-26 17:29:00,28.17,12.0,purchased,social
90132,3020,2024-09-27 18:58:00,5.49,6.0,cart_added,social
90133,2646,2022-02-09 20:09:00,3.55,3.0,visited,email
90134,5872,2022-08-18 12:34:00,8.66,3.0,product_viewed,organic
90135,3131,2024-01-14 17:19:00,15.92,9.0,purchased,organic
90136,3374,2023-09-22 18:09:00,14.17,7.0,checkout,paid_search
90137,2702,2023-05-06 11:25:00,7.96,6.0,product_viewed,paid_search
90138,5594,2022-04-29 22:33:00,2.88,1.0,visited,paid_search
90139,3845,2023-05-09 20:03:00,11.74,10.0,cart_added,social
90140,4845,2022-06-11 10:50:00,5.45,6.0,product_viewed,organic
90141,5039,2022-06-25 17:38:00,0.5,2.0,visited,social
90142,2641,2024-09-22 18:08:00,2.68,1.0,visited,paid_search
90143,3059,2022-05-22 13:32:00,11.75,7.0,cart_added,social
90144,5253,2024-12-26 20:50:00,2.88,1.0,visited,paid_search
90145,2748,2022-09-15 17:09:00,13.67,10.0,cart_added,organic
90146,4925,2022-09-20 17:57:00,9.03,8.0,cart_added,referral
90147,5764,2024-08-31 09:25:00,1.07,1.0,visited,organic
90148,4112,2022-12-05 12:43:00,2.18,5.0,product_viewed,organic
90149,4698,2023-06-27 13:46:00,18.9,7.0,purchased,social
90150,4996,2024-12-16 18:04:00,8.66,7.0,cart_added,paid_search
90151,5250,2024-05-16 16:45:00,13.79,7.0,cart_added,referral
90152,2879,2023-03-10 06:41:00,4.71,5.0,product_viewed,organic
90153,1329,2023-02-16 11:48:00,0.5,3.0,visited,paid_search
90154,2930,2023-10-01 14:24:00,5.28,5.0,product_viewed,organic
90155,4472,2024-03-28 18:16:00,11.94,9.0,cart_added,email
90156,3164,2024-02-04 18:07:00,1.67,3.0,visited,email
90157,4752,2024-06-16 14:28:00,0.95,1.0,visited,referral
90158,2718,2024-11-25 07:01:00,6.26,2.0,product_viewed,social
90159,4190,2024-07-13 10:00:00,1.95,3.0,product_viewed,email
90160,1908,2022-09-05 10:21:00,13.61,8.0,purchased,paid_search
90161,4757,2023-05-23 19:12:00,3.87,2.0,visited,organic
90162,3673,2023-04-06 08:55:00,3.68,2.0,visited,social
90163,2065,2022-05-12 13:31:00,10.65,6.0,cart_added,paid_search
90164,2432,2023-11-24 17:04:00,7.33,3.0,product_viewed,paid_search
90165,4744,2022-02-13 22:41:00,5.75,6.0,product_viewed,organic
90166,3353,2023-04-17 23:33:00,6.83,5.0,cart_added,social
90167,2123,2023-03-28 22:27:00,2.89,1.0,visited,email
90168,5909,2022-01-15 18:02:00,25.41,13.0,purchased,social
90169,4610,2022-05-26 18:21:00,2.48,2.0,visited,referral
90170,5847,2022-05-01 18:24:00,4.82,1.0,visited,referral
90171,3058,2023-04-14 20:46:00,1.39,2.0,visited,paid_search
90172,3307,2022-05-19 21:45:00,13.98,0.0,cart_added,organic
90173,5529,2022-03-06 13:25:00,2.11,1.0,visited,social
90174,3603,2023-11-08 13:34:00,,,,
90175,4588,2022-05-26 13:32:00,1.58,2.0,visited,email
90176,2251,2024-11-18 17:00:00,1.01,1.0,visited,email
90177,3137,2023-05-03 18:50:00,0.5,1.0,visited,organic
90178,1565,2023-07-25 20:12:00,3.72,3.0,product_viewed,paid_search
90179,2075,2024-09-21 13:04:00,3.94,3.0,visited,referral
90180,1003,2023-03-15 12:44:00,1.75,1.0,visited,social
90181,1266,2022-09-28 23:53:00,4.12,2.0,product_viewed,social
90182,5968,2024-08-26 09:41:00,8.66,4.0,cart_added,social
90183,2192,2023-05-13 09:25:00,3.21,1.0,visited,social
90184,4378,2024-08-26 18:24:00,6.61,4.0,product_viewed,organic
90185,5205,2024-04-13 08:19:00,6.77,6.0,cart_added,organic
90186,3709,2023-01-25 12:30:00,15.41,18.0,purchased,organic
90187,1722,2022-07-13 10:55:00,5.52,5.0,product_viewed,organic
90188,4647,2022-07-18 08:36:00,4.57,5.0,product_viewed,paid_search
90189,3986,2024-06-01 15:53:00,5.67,4.0,product_viewed,referral
90190,4671,2023-12-27 12:23:00,5.68,6.0,product_viewed,organic
90191,4847,2024-05-17 13:40:00,3.32,1.0,visited,referral
90192,5949,2024-04-21 09:04:00,6.67,4.0,product_viewed,email
90193,3879,2024-08-14 18:09:00,28.0,16.0,purchased,social
90194,2641,2022-04-21 11:29:00,8.93,6.0,product_viewed,paid_search
90195,4262,2022-07-21 11:37:00,2.72,3.0,visited,paid_search
90196,1437,2022-05-05 10:33:00,19.25,16.0,purchased,organic
90197,5529,2024-04-04 13:12:00,,,,
90198,1565,2023-11-26 13:57:00,6.73,6.0,product_viewed,paid_search
90199,2547,2022-08-12 15:07:00,6.56,5.0,product_viewed,email
90200,5060,2023-05-25 22:56:00,4.36,5.0,product_viewed,referral
90201,3956,2023-01-28 21:11:00,3.33,1.0,visited,social
90202,2871,2023-01-25 16:48:00,5.26,3.0,product_viewed,email
90203,3301,2024-07-07 04:48:00,0.5,1.0,visited,email
90204,5278,2022-10-15 16:16:00,9.12,9.0,cart_added,paid_search
90205,2634,2024-05-14 06:08:00,2.81,2.0,visited,email
90206,5393,2023-01-11 17:35:00,11.54,4.0,cart_added,social
90207,1521,2023-07-25 12:43:00,3.03,2.0,visited,social
90208,4847,2024-08-05 19:23:00,2.15,2.0,visited,referral
90209,5252,2023-05-27 21:15:00,1.58,3.0,visited,organic
90210,1898,2022-06-04 13:23:00,28.81,17.0,purchased,email
90211,3059,2024-06-26 13:43:00,6.12,3.0,product_viewed,social
90212,1803,2022-07-20 16:43:00,8.33,6.0,cart_added,social
90213,4584,2022-04-14 09:17:00,8.28,6.0,product_viewed,email
90214,3644,2022-01-31 21:05:00,21.19,10.0,purchased,social
90215,4190,2022-07-11 13:53:00,1.92,1.0,visited,email
90216,1994,2023-04-30 08:25:00,3.69,2.0,product_viewed,social
90217,2089,2022-12-07 18:50:00,,,,
90218,1270,2024-04-12 09:01:00,,,,
90219,2547,2024-09-21 08:05:00,17.99,9.0,checkout,email
90220,3776,2024-09-12 15:36:00,7.71,4.0,product_viewed,paid_search
90221,5288,2023-03-14 17:38:00,10.64,6.0,cart_added,social
90222,4416,2024-04-01 15:05:00,0.5,2.0,visited,social
90223,3060,2022-05-01 17:39:00,2.81,2.0,visited,paid_search
90224,5822,2022-12-04 07:35:00,6.46,3.0,product_viewed,organic
90225,4623,2024-02-16 14:43:00,19.13,12.0,checkout,organic
90226,5698,2022-01-05 12:16:00,3.82,5.0,product_viewed,paid_search
90227,3614,2024-03-10 22:35:00,4.75,6.0,product_viewed,social
90228,2281,2023-06-28 05:01:00,3.48,6.0,product_viewed,social
90229,1338,2024-07-20 11:33:00,12.06,8.0,cart_added,social
90230,4631,2023-08-08 21:28:00,5.17,3.0,visited,email
90231,1565,2024-05-16 23:00:00,7.01,3.0,product_viewed,paid_search
90232,2501,2024-09-23 19:59:00,8.55,5.0,product_viewed,paid_search
90233,3630,2022-11-14 06:44:00,5.44,6.0,product_viewed,paid_search
90234,3811,2023-01-24 15:07:00,14.27,7.0,cart_added,organic
90235,3987,2023-08-31 12:30:00,0.85,1.0,visited,organic
90236,1807,2023-03-22 19:00:00,17.95,12.0,checkout,referral
90237,2811,2022-04-30 05:44:00,0.5,3.0,visited,social
90238,4083,2022-05-05 09:32:00,7.92,10.0,cart_added,organic
90239,5927,2023-10-05 14:49:00,0.79,2.0,visited,paid_search
90240,4642,2022-04-28 08:46:00,2.34,3.0,visited,referral
90241,5675,2022-04-13 17:43:00,2.23,4.0,product_viewed,paid_search
90242,4846,2024-09-03 19:25:00,8.54,9.0,cart_added,social
90243,3942,2024-10-26 17:31:00,13.46,6.0,cart_added,social
90244,1974,2024-12-23 13:55:00,3.12,6.0,product_viewed,organic
90245,4414,2022-11-19 20:57:00,20.11,15.0,purchased,paid_search
90246,4114,2022-04-27 08:06:00,5.74,2.0,product_viewed,organic
90247,3987,2024-11-06 10:23:00,4.28,2.0,product_viewed,organic
90248,3381,2022-06-14 14:10:00,0.5,3.0,visited,email
90249,3617,2023-01-16 05:02:00,2.67,2.0,visited,paid_search
90250,2593,2022-05-21 06:30:00,0.5,1.0,visited,organic
90251,3582,2022-05-20 12:29:00,,,,
90252,2006,2023-04-27 21:41:00,4.33,5.0,product_viewed,social
90253,4996,2024-04-06 21:06:00,13.9,13.0,checkout,paid_search
90254,1902,2022-09-03 13:46:00,4.19,3.0,product_viewed,organic
90255,1508,2023-05-20 08:03:00,5.12,6.0,product_viewed,email
90256,3064,2022-03-23 08:30:00,3.62,1.0,visited,paid_search
90257,4343,2022-06-17 12:52:00,0.5,3.0,visited,social
90258,3080,2024-05-08 09:18:00,2.6,1.0,visited,email
90259,2370,2024-12-06 06:03:00,4.45,5.0,product_viewed,organic
90260,3766,2023-10-10 17:18:00,5.52,2.0,product_viewed,referral
90261,2677,2023-06-19 15:14:00,2.91,2.0,visited,organic
90262,5706,2023-02-23 10:14:00,5.84,3.0,product_viewed,paid_search
90263,5675,2023-10-06 19:27:00,4.6,6.0,product_viewed,paid_search
90264,3470,2023-05-04 18:35:00,11.67,6.0,cart_added,paid_search
90265,2547,2023-06-28 14:37:00,2.44,1.0,visited,email
90266,4692,2024-03-21 07:23:00,1.22,3.0,visited,paid_search
90267,1256,2022-09-26 21:46:00,13.44,8.0,cart_added,social
90268,3305,2023-09-07 17:28:00,3.04,3.0,product_viewed,referral
90269,2603,2024-07-25 10:38:00,14.68,7.0,checkout,organic
90270,5672,2023-10-10 16:24:00,0.5,1.0,visited,email
90271,1075,2022-05-29 12:28:00,12.3,8.0,cart_added,social
90272,3719,2022-01-20 16:44:00,3.79,1.0,visited,email
90273,4696,2024-07-27 14:09:00,4.12,4.0,product_viewed,organic
90274,3363,2022-07-24 14:41:00,,,,
90275,1508,2022-05-31 18:58:00,0.5,2.0,visited,email
90276,5939,2023-03-13 16:18:00,4.4,3.0,product_viewed,email
90277,3566,2024-11-02 06:26:00,5.45,4.0,product_viewed,organic
90278,4062,2023-06-28 05:05:00,4.0,2.0,product_viewed,organic
90279,2175,2022-09-29 11:42:00,,,,
90280,3363,2023-12-16 13:03:00,,,,
90281,3059,2022-05-21 10:20:00,9.52,9.0,cart_added,social
90282,1475,2023-05-16 17:04:00,0.55,2.0,visited,paid_search
90283,1565,2024-01-27 09:05:00,11.11,8.0,cart_added,paid_search
90284,5196,2023-08-07 17:02:00,4.82,3.0,product_viewed,organic
90285,2175,2022-11-20 18:59:00,5.05,2.0,product_viewed,social
90286,1989,2024-06-16 07:53:00,0.5,3.0,visited,organic
90287,3489,2023-09-12 17:36:00,1.95,3.0,visited,social
90288,4847,2024-12-19 22:59:00,0.5,3.0,visited,referral
90289,1411,2022-01-17 09:00:00,2.39,1.0,visited,paid_search
90290,3882,2023-09-06 21:03:00,23.74,15.0,purchased,email
90291,1565,2022-08-01 16:43:00,18.55,13.0,checkout,paid_search
90292,1253,2022-10-03 16:30:00,6.13,3.0,product_viewed,email
90293,1338,2023-06-26 05:03:00,2.54,1.0,visited,social
90294,5171,2022-08-25 18:52:00,18.58,7.0,checkout,organic
90295,1565,2022-08-08 14:06:00,11.0,5.0,cart_added,paid_search
90296,1283,2022-11-15 18:31:00,2.41,1.0,visited,paid_search
90297,3080,2023-07-12 19:35:00,6.26,3.0,product_viewed,email
90298,5250,2023-08-01 14:47:00,3.53,6.0,product_viewed,referral
90299,2281,2023-03-08 10:23:00,2.31,1.0,visited,social
90300,3015,2023-12-04 08:01:00,2.4,3.0,visited,paid_search
90301,1268,2023-02-21 08:46:00,6.72,6.0,product_viewed,social
90302,3155,2023-06-25 20:11:00,4.81,3.0,visited,organic
90303,3884,2024-11-01 07:00:00,2.87,3.0,visited,organic
90304,3863,2024-09-27 12:23:00,2.32,1.0,visited,referral
90305,2564,2023-05-30 11:03:00,17.31,6.0,checkout,organic
90306,2547,2022-04-15 20:09:00,10.8,4.0,cart_added,email
90307,1565,2022-07-09 14:22:00,4.42,4.0,product_viewed,paid_search
90308,2758,2024-05-17 23:42:00,7.94,2.0,product_viewed,paid_search
90309,1557,2023-07-21 18:18:00,5.0,10.0,cart_added,organic
90310,4847,2022-04-01 20:36:00,8.59,4.0,product_viewed,referral
90311,5900,2022-01-08 07:30:00,0.5,3.0,visited,referral
90312,5927,2023-11-15 10:10:00,7.36,6.0,cart_added,paid_search
90313,5348,2022-09-25 08:43:00,,,,
90314,3987,2023-06-21 13:48:00,6.45,5.0,product_viewed,organic
90315,4583,2022-11-27 18:59:00,17.87,12.0,checkout,paid_search
90316,2412,2024-06-23 08:40:00,3.77,1.0,visited,organic
90317,4149,2024-05-25 07:14:00,8.64,7.0,cart_added,email
90318,3196,2022-01-20 16:45:00,0.5,3.0,visited,paid_search
90319,3350,2022-08-18 09:43:00,25.07,7.0,purchased,organic
90320,4805,2022-06-04 14:39:00,10.0,9.0,cart_added,organic
90321,2405,2022-11-02 05:11:00,30.83,17.0,purchased,social
90322,2547,2022-03-15 17:02:00,7.71,7.0,cart_added,email
90323,5682,2024-01-27 15:05:00,1.28,3.0,visited,organic
90324,1368,2022-10-31 17:00:00,,,,
90325,3363,2024-05-30 10:43:00,7.16,3.0,product_viewed,organic
90326,5624,2022-09-19 10:11:00,2.43,2.0,product_viewed,social
90327,4035,2022-03-27 19:39:00,8.06,4.0,product_viewed,organic
90328,3677,2023-09-24 18:57:00,3.71,3.0,visited,paid_search
90329,2242,2024-01-17 15:56:00,3.56,2.0,product_viewed,email
90330,2653,2022-03-23 16:30:00,3.13,2.0,product_viewed,organic
90331,5273,2024-01-03 06:23:00,13.51,11.0,checkout,organic
90332,3776,2023-03-07 20:57:00,1.46,3.0,visited,paid_search
90333,3558,2023-05-27 18:39:00,3.57,4.0,product_viewed,organic
90334,1557,2022-07-30 16:50:00,18.78,12.0,checkout,organic
90335,1114,2023-12-26 21:38:00,0.62,3.0,visited,email
90336,5884,2024-04-12 08:30:00,2.66,1.0,visited,organic
90337,2811,2022-11-13 17:17:00,2.37,1.0,visited,social
90338,3987,2023-04-30 22:41:00,5.96,3.0,product_viewed,organic
90339,1495,2022-11-29 11:29:00,0.87,1.0,visited,paid_search
90340,4512,2022-12-29 01:43:00,30.61,11.0,purchased,organic
90341,5705,2024-04-24 18:44:00,8.68,3.0,product_viewed,paid_search
90342,3882,2022-02-20 00:41:00,,,,
90343,1565,2023-01-03 20:42:00,10.48,12.0,checkout,paid_search
90344,3918,2023-11-12 05:55:00,5.97,1.0,visited,email
90345,4847,2024-04-23 17:59:00,,,,
90346,2953,2023-05-24 12:21:00,,,,
90347,5429,2023-07-01 09:40:00,1.57,2.0,visited,organic
90348,4262,2022-11-23 20:14:00,13.16,10.0,purchased,paid_search
90349,5539,2022-08-10 18:55:00,9.93,5.0,cart_added,organic
90350,4114,2024-02-23 11:38:00,16.81,7.0,checkout,organic
90351,1566,2022-03-21 10:27:00,18.2,18.0,purchased,social
90352,2530,2024-08-21 18:20:00,,,,
90353,2047,2023-04-01 19:38:00,12.82,4.0,cart_added,organic
90354,5584,2023-02-13 18:55:00,5.06,4.0,product_viewed,email
90355,4827,2024-07-31 16:47:00,13.05,11.0,purchased,paid_search
90356,4477,2023-12-18 09:28:00,2.18,3.0,visited,referral
90357,2489,2023-09-18 20:47:00,2.04,2.0,visited,paid_search
90358,1898,2023-04-12 18:19:00,2.08,3.0,visited,email
90359,4802,2023-04-02 14:16:00,0.5,3.0,visited,referral
90360,3302,2022-02-18 14:53:00,9.26,6.0,product_viewed,social
90361,2135,2023-01-31 15:48:00,0.5,1.0,visited,social
90362,4081,2024-03-27 19:10:00,0.65,3.0,visited,social
90363,1268,2023-11-04 18:22:00,0.86,1.0,visited,social
90364,2547,2023-07-25 20:09:00,5.09,5.0,product_viewed,email
90365,3261,2022-05-23 14:24:00,3.77,3.0,visited,email
90366,1702,2023-07-26 16:42:00,4.61,2.0,product_viewed,organic
90367,5994,2023-12-21 20:43:00,1.32,3.0,visited,social
90368,2082,2024-11-09 09:43:00,8.54,5.0,product_viewed,organic
90369,1566,2024-03-29 13:39:00,2.28,3.0,visited,social
90370,2061,2023-11-10 16:48:00,2.4,3.0,visited,email
90371,4847,2022-02-26 21:47:00,3.32,1.0,visited,referral
90372,3040,2022-08-25 01:16:00,15.79,7.0,checkout,organic
90373,3825,2023-06-19 09:42:00,12.81,5.0,cart_added,paid_search
90374,1147,2023-01-01 09:41:00,23.3,13.0,purchased,social
90375,1246,2023-06-28 11:10:00,5.61,4.0,product_viewed,referral
90376,3137,2022-03-20 10:03:00,2.61,1.0,visited,organic
90377,5069,2022-08-11 16:18:00,30.34,14.0,purchased,social
90378,5474,2024-06-08 20:05:00,4.96,5.0,product_viewed,paid_search
90379,1511,2023-12-09 16:25:00,0.5,2.0,visited,social
90380,3664,2023-10-05 10:18:00,6.2,9.0,cart_added,social
90381,5633,2024-06-12 20:07:00,2.23,3.0,visited,email
90382,2831,2024-11-13 16:22:00,10.68,5.0,cart_added,referral
90383,5138,2022-08-25 09:49:00,3.89,1.0,visited,paid_search
90384,1570,2024-02-28 12:46:00,1.93,2.0,visited,paid_search
90385,5707,2023-01-25 19:13:00,6.49,6.0,product_viewed,email
90386,4765,2023-06-06 18:28:00,3.95,2.0,visited,paid_search
90387,5767,2022-04-01 15:18:00,17.33,14.0,checkout,email
90388,4477,2024-06-12 08:02:00,8.29,9.0,cart_added,referral
90389,2748,2022-01-04 19:50:00,0.5,1.0,visited,organic
90390,5744,2024-11-30 11:50:00,4.98,5.0,product_viewed,referral
90391,2353,2023-02-08 18:43:00,8.09,4.0,cart_added,paid_search
90392,2562,2024-01-16 17:54:00,12.66,8.0,cart_added,organic
90393,4583,2024-06-02 10:23:00,4.18,2.0,product_viewed,paid_search
90394,4847,2022-05-24 09:05:00,11.01,7.0,checkout,referral
90395,5698,2023-11-08 07:57:00,14.54,13.0,purchased,paid_search
90396,2068,2023-10-05 10:57:00,2.69,3.0,visited,organic
90397,4947,2022-09-13 08:12:00,17.56,6.0,checkout,social
90398,4692,2023-09-08 16:15:00,,,,
90399,1417,2024-11-04 16:29:00,17.48,7.0,checkout,organic
90400,2824,2023-09-26 15:59:00,8.09,4.0,product_viewed,email
90401,2412,2024-04-16 16:49:00,8.19,10.0,cart_added,organic
90402,2507,2023-10-31 19:39:00,4.44,3.0,visited,social
90403,5979,2024-04-04 21:49:00,13.71,5.0,cart_added,organic
90404,4232,2023-08-29 09:14:00,4.21,5.0,product_viewed,social
90405,4616,2022-09-18 16:55:00,2.85,2.0,product_viewed,organic
90406,5961,2023-01-28 06:28:00,7.39,8.0,cart_added,paid_search
90407,2811,2024-05-11 07:50:00,5.57,5.0,product_viewed,social
90408,4982,2024-02-16 17:27:00,9.05,6.0,cart_added,email
90409,3059,2022-12-23 14:50:00,14.08,9.0,checkout,social
